_id,istasyon_kodu,enlem,boylam,adres,peron_adet
1,KON 1001,32.470592,37.855942,Meram Belediyesi,12
2,KON 1002,32.488941,37.865761,Balık Hali (yeri değişecek),12
3,KON 1006,32.498898,37.872044,Şerafettin Cami Önü Yürüyüş Alanı,12
4,KON 1011,32.489601,37.87389,Kültür Park Yürüyüş Alanı,18
5,KON 1015,32.486168,37.87027,Gedavet Parkı Yürüyüş Alanı,12
6,KON 1016,32.483131,37.87764,Bera Otel Karşısı,12
7,KON 1017,32.485106,37.875086,Maliye Karşısı,12
8,KON 1019,32.491688,37.886711,Kule Karşısı,12
9,KON 1023,32.457623,37.884609,Başkent Hastanesi Karşısı Orta Refüj,12
10,KON 1024,32.543171,37.862938,Adliye Otopark Girişi (iptal) sökülecek,6
11,KON 1026,32.495476,37.904301,Kent Plaza Orta Refüj,18
12,KON 1027,32.513737,37.949921,Otogar Kavşağı Medaş Duvarı Önü,18
13,KON 1030,32.527493,38.009121,Büyük Hizmet Caddesi Park İçi Yürüyüş Alanı,12
14,KON 1031,32.499161,37.848808,Ahmet Özcan Caddesi KO-MEK Önü,12
15,KON 1035,32.453598,37.864403,NEÜ Eğitim Fakültesi Girişi,24
16,KON 1036,32.516682,37.828968,Karaman Yolu Göbeği,12
17,KON 1037,32.476151,37.892254,sille kavşağı akşemsettın parkı,12
18,KON 1039,32.517185,37.979061,Japon Parkı Girişi Orta Refüj,24
19,KON 1040,32.44532,37.861618,Konya Eğitim Araştırma Hastanesi Yürüyüş Yolu,12
20,KON 1042,32.461761,37.94794,Kelebekler Vadisi Otopark İçi,12
21,KON 1044,32.484343,37.946971,Stad Otopark İçi,12
22,KON 1045,32.486446,37.869331,Konya Lisesi Önü Yürüyüş Alanı,12
23,KON 1048,32.560757,37.957508,Türk Yıldızları Parkı Yürüyüş Alanı,12
24,KON 1049,32.593468,37.98782,Bilim Merkezi Girişi,6
25,KON 1051,32.506176,37.895515,Belh Kavşağı Yürüyüş Alanı,12
26,KON 1053,32.507668,37.924541,Selçuk Meslek Teknik Lisesi Önü,12
27,KON 1056,32.526562,37.908978,Maatbaçılar Köprüsü,6
28,KON 1062,32.488457,37.852776,Meram İtfaiye Grubu Orta Refüj,12
29,KON 1063,32.481758,37.873127,İhsaniye Kavşağı,6
30,KON 1065,32.501068,37.875553,İsmet Paşa Ortaokulu Orta Refüj,6
31,KON 1067,32.512577,37.877434,Sedirler Parkı Yürüyüş Alanı,12
32,KON 1068,32.486244,37.883579,Rauf Denktaş Caddesi Yürüyüş Alanı,12
33,KON 1070,32.511631,37.93877,Selçuklu Özel İdare Önü Girişi,12
34,KON 1071,32.480652,37.862999,Konya Orman İl Müdürlüğü,12
35,KON 1075,32.531677,37.92918,Aykent Sanayi Sitesi Girişi Orta Refüj,6
36,KON 1079,32.502605,37.891865,Ankara Caddesi Hava Lojmanları Yürüyüş Alanı,12
37,KON 1082,32.490009,37.899799,Koyuncu Petrol Tramvay Durağı,12
38,KON 1083,32.509327,37.929142,Tramvay Selçuklu Belediyesi Durağı Karşısı,18
39,KON 1084,32.493881,37.948154,Real Kavşağı Orta Refüj,12
40,KON 1086,32.522556,38.009529,İbrahim Hakkı Cami Önü,18
41,KON 1087,32.424568,37.866707,Meram Köyçeğiz,30
42,KON 1088,32.431042,37.857746,NEÜ Rektörlük Girişi,6
43,KON 1089,32.423271,37.853622,Meram Son Durak Otopark Yürüyüş Alanı,18
44,KON 1091,32.4842,37.867184,DSİ Önü Yürüyüş Yolu,12
45,KON 1092,32.494316,37.872192,Aladdin Bulvarı İş Bankası Karşısı Orta Refüj,12
46,KON 1093,32.493423,37.874943,Karatay Medresesi Karşısı,0
47,KON 1094,32.500866,37.91074,15 TEMMUZ KADIN DOĞUM,12
48,KON 1095,32.512482,38.022549,SEÜ Akkonak Gökkuşağı Önü,30
49,KON 1096,32.515549,38.019905,Tramvay Kampüs Giriş Durağı Yürüyüş Yolu,24
50,KON 1097,32.521111,38.013828,Bosna Kayalar Cami Karşısı Yürüyüş Yolu,12
51,KON 1098,32.522228,37.947353,Tahir Büyükkörükçü Erkek Öğrenci Yurdu Yürüyüş Yolu,18
52,KON 1099,32.474125,37.876842,Konya Gıda Tarım Üniversitesi Karşısı Orta Refüj,12
53,KON 1100,32.48349,37.870552,Koski Önü Yürüyüş Yolu,12
54,KON 1101,32.51506,37.870667,Mevlana Kültür Merkezi Önü,6
55,KON 1102,32.531464,37.869877,Konya Kongre ve Spor Merkezi Önü,12
56,KON 1103,32.535969,37.865635,Karatay Ünüversitesi Girişi,18
