_id,park_alani_isimleri,enlem,boylam
1,KAMPÜS 02A BOSNA HERSEK,32.51877984190408,38.00940102091862
2,KAMPÜS 02B BOSNA HERSEK,32.51938029678481,38.00947915130062
3,KAMPÜS 03 BUZLUKBAŞI,32.51973693158448,38.00250371121295
4,KAMPÜS 04 FIRAT CADDESİ,32.5184303520723,37.99464895249642
5,KAMPÜS 05 PİRİ REİS,32.51770962074744,37.98915648742838
6,KAMPÜS 06 SANCAK,32.51680031377312,37.98228949401522
7,KAMPÜS 07 JAPON PARKI,32.51625065863524,37.9767110246055
8,KAMPÜS 08 YAZIR,32.51495409426025,37.97153992955331
9,KAMPÜS 09 MTA,32.51455927529192,37.9651960210252
10,KAMPÜS 10 ELMALILI HAMDİ,32.51409454493773,37.95888878476291
11,KAMPÜS 11 MEDAŞ,32.51321851469353,37.95396196967933
12,KAMPÜS 12 OTOGAR,32.51224566479171,37.94785912690254
13,KAMPÜS 13 ERENKAYA,32.51178639443508,37.94391666099619
14,KAMPÜS 15 EYÜP SULTAN,32.51044822134453,37.93643610947743
15,KAMPÜS 16 BİRİNCİ ORGHANİZE SAN,32.50869294673355,37.92869983411821
16,KAMPÜS 17 TEKNİK LİSE,32.50783678092908,37.92458100605364
17,KAMPÜS 18 SAKARYA,32.50560875621404,37.91668380089293
18,KAMPÜS 19 ŞEHİTLER CAMİ,32.50081552946606,37.91191524882602
19,KAMPÜS 20 AYDINLIK EVLER,32.49601157967594,37.90731484275345
20,KAMPÜS 21 ESKİ SANAYİ,32.4893038220364,37.8996242951029
21,KAMPÜS 24 NALÇAÇI,32.48986411541268,37.88188775730156
22,KAMPÜS 25 BELEDİYE,32.48753328308745,37.87660853547344
23,KAMPÜS 26 KÜLTÜRPARK,32.49091096149895,37.87453853971522
24,KAMPÜS 27 ZAFER,32.49011590017552,37.87175901366815
25,ADLİYE 02 ŞERAFETTİN CAMİİ,32.49847101111411,37.87206264735548
26,ADLİYE 03 MEVLANA,32.5071765472571,37.87050604867116
27,ADLİYE 05 FETİH CAD,32.52515243435651,37.86981709960805
28,ADLİYE 06 SPOR VE KONGRE MERKEZİ,32.53362286520213,37.86914561898942
