Başlık,Enlem,Boylam
01 OTOGAR MEDAŞ KESİŞİMİ,32.51357506355327,37.94939136587926
02 JAPON PARKI,32.51717277647408,37.97905378126096
03 BOSNA MESAJ VE OSMANLI CAD.,32.52254169324383,38.00952493977778
04 KAMPÜS (GÖKKUŞAĞI),32.51266133925031,38.02239999407632
01 KENT PLAZA KAVŞAK ÜSTÜ,32.49552383677857,37.90424487203836
02 KUNDURACILAR KAVŞAĞI,32.49782034806486,37.89352581029537
03 NENE HATUN PARKI,32.48816322516747,37.88255058211505
04 SİLLE YOLU DEDEMAN KAVŞAK ÜSTÜ,32.47633301308114,37.89234650712825
05 SİLLE PARKI,32.42726910513213,37.92930550592469
06 ŞEFİKCAN CADDESİ ÇEVRE YOLU KESİŞİMİ,32.46216760591253,37.88776391576111
07 BAŞKENT HASTANESİ,32.45728220532545,37.88412911528168
08 BEYŞEHİR CADDESİ TIP KAVŞAĞI,32.45274555217313,37.88025121734728
09 MELİKŞAH PARKI,32.45878329920782,37.87082135217745
10 EVLİYA ÇELEBİ PARKI,32.45583747889906,37.86575663764325
11 MERAM EĞİTİM FAKÜLTESİ ÖNÜ,32.45358006832293,37.86439227499253
12 MERAM EĞT.ARAŞ.HAST.,32.44529188498345,37.86174715679873
13  MERAM  YERALTI KATLI OTOPARK,32.42289765714509,37.85343871745837
01 HAVZAN GÖBEĞİ,32.47027024126437,37.86325439307276
02 MERAM BELEDİYESİ  KAVŞAĞI,32.47054814606814,37.85585146143063
03 FERİTPAŞA MAH DSİ ÖNÜ,32.4842731426254,37.86711862980873
04 LARENDE CADDESİ BALIK HALİ ÖNÜ,32.48946303246772,37.86555510554385
05 KARATAY BELEDİYESİ ÖNÜ,32.50189093123632,37.86587695544187
06 KARAMAN ALTI YOL KAVŞAĞI,32.50788004083066,37.8485987776412
07 AHMET ÖZCAN CADDESİ KOMEK ÖNÜ,32.49912114529983,37.84864460810181
08 MEVLANA (ÇİFT KATLI  YANI),32.50454434679747,37.87159236829885
01 ALİ ULVİ KURUCU CAD. ŞEHİT AZAM GÜNDEDE PARKI,32.51266124478691,37.87733920141528
02 ŞERAFETTİN CAMİİ,32.49886371677557,37.87208171024879
03 KÜLTÜRPARK ÇEŞME YANI,32.49026010301748,37.874201803367
04 BERA OTEL ÖNÜ,32.48316522128065,37.87756405313946
05 ESKİ SANAYİ TRAMVAY DURAĞI,32.49008916052362,37.89976129523532
06 BELH KAVŞAĞI,32.50613648654699,37.89556088312811
07 BORSA KAVŞAĞI,32.52660931977019,37.90894029596811
08 EMNİYET KAVŞAĞI,32.49914162204551,37.88650422870848
01 SAKARYA,32.50662399711027,37.91698321487262
02 FEN İŞLERİ YANI,32.5118824741925,37.93787128463944
01 KARAMAN KAVŞAĞI,32.51670644072437,37.82892524589953
02 İŞ BANKASI,32.49442072506835,37.87222708442946
03 TREN GARI,32.47675176527362,37.86647033143673
06 KOSKİ YANI ESKİ SGK BİNASI,32.48380372461346,37.87068768317555
07 ZEFER MEYDANI,32.49003979191294,37.87206317095547
